id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,track_type
7rDhAqoPJ6gjbMhFO8QlBn,0.704,0.773,-9.525,0.0429,0.00332,0.877,0.107,0.377,136.995,529051,43,deep psy
5ysVy4xs1qyMqfYOKEh6Qh,0.674,0.494,-4.917,0.0404,0.585,5.22e-05,0.605,0.648,134.072,288000,36,deep psy
4mX3gf4UAE2joPcVvy57dB,0.817,0.797,-5.644,0.165,0.14,0.0,0.179,0.448,132.897,151838,10,deep psy
2JxBciAF6Vg15pdIgUJ1g6,0.605,0.831,-7.804,0.0353,0.00113,0.771,0.0641,0.637,140.03,360000,22,deep psy
5JpJA7Pvrt96dMdfX0fViA,0.756,0.498,-10.105,0.0865,0.0635,0.726,0.0811,0.14,142.008,569577,24,deep psy
7JkZzoSGyeImBpwZZEMd5i,0.743,0.679,-8.97,0.0596,0.0253,0.907,0.0708,0.642,141.981,459718,26,deep psy
